Product Name,Product Price,Rating,Number of Reviews,Product URL
FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,,4.6 out of 5 stars,4.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODg0NTA0NzMzNzQ5NTk3OjE2OTI2MjI4NTA6c3BfYnRmOjIwMTUzOTYyNDIxNDk4OjowOjo&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,,4.1 out of 5 stars,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQxOTcwODczMTc0NTk3OjE2OTI2MjI4NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMzM0Mjk4MzgzMjo6MDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09CQ5T3LN%26pd_rd_r%3Df3ef8520-5440-4a29-a81b-fa08c65c7695%26pd_rd_w%3D4wjxA%26pd_rd_wg%3D0zMPn%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DDAN2Y29X61MFJ00YZAKR%26qid%3D1692622850%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,,4.1 out of 5 stars,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQxOTcwODczMTc0NTk3OjE2OTI2MjI4NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMzM0Mjk4MzgzMjo6MDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09CQ5T3LN%26pd_rd_r%3Df3ef8520-5440-4a29-a81b-fa08c65c7695%26pd_rd_w%3D4wjxA%26pd_rd_wg%3D0zMPn%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DDAN2Y29X61MFJ00YZAKR%26qid%3D1692622850%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Red Lemon Medium Size Unisex Adult Bange Series Rhombus Shell Design Waterproof Sling Bag With Usb Charging,,4.2 out of 5 stars,4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQxOTcwODczMTc0NTk3OjE2OTI2MjI4NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDk4NzE5MDg2ODk4OjoxOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09VGNTDRZ%26pd_rd_r%3Df3ef8520-5440-4a29-a81b-fa08c65c7695%26pd_rd_w%3D4wjxA%26pd_rd_wg%3D0zMPn%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DDAN2Y29X61MFJ00YZAKR%26qid%3D1692622850%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,,4.6 out of 5 stars,4.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQxOTcwODczMTc0NTk3OjE2OTI2MjI4NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUzOTYyNDIxNDk4OjoyOjo&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0C28QQMFJ%26pd_rd_r%3Df3ef8520-5440-4a29-a81b-fa08c65c7695%26pd_rd_w%3D4wjxA%26pd_rd_wg%3D0zMPn%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DDAN2Y29X61MFJ00YZAKR%26qid%3D1692622850%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-3-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
,,4.3 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQxOTcwODczMTc0NTk3OjE2OTI2MjI4NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDM0NzMxNDc3MzA2OjozOjo&url=%2FCOSMUS-Polyester-Black-Laptop-Backpack%2Fdp%2FB01FUKZRCU%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB01FUKZRCU%26pd_rd_r%3Df3ef8520-5440-4a29-a81b-fa08c65c7695%26pd_rd_w%3D4wjxA%26pd_rd_wg%3D0zMPn%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DDAN2Y29X61MFJ00YZAKR%26qid%3D1692622850%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-4-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
,,4.1 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQxOTcwODczMTc0NTk3OjE2OTI2MjI4NTA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDkwNjQ0OTk5NjA2Ojo0Ojo&url=%2FCosmus-Tuxer-Laptop-Backpack-Compartments%2Fdp%2FB09HCJKKF4%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09HCJKKF4%26pd_rd_r%3Df3ef8520-5440-4a29-a81b-fa08c65c7695%26pd_rd_w%3D4wjxA%26pd_rd_wg%3D0zMPn%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DDAN2Y29X61MFJ00YZAKR%26qid%3D1692622850%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-5-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",,4.5 out of 5 stars,4.5,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODU4MDU3NjAyNDgzNTk3OjE2OTI2MjI4NTY6c3BfYXRmX25leHQ6MjAxMDU3MTU4MjE1OTg6OjA6Og&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622855%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
COSMUS WEBSTAR 45 CM LAPTOP BACKPACK 35 LTRS LARGE SCHOOL BAG/TRAVEL BAGPACK (GREY),,4.2 out of 5 stars,4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODU4MDU3NjAyNDgzNTk3OjE2OTI2MjI4NTY6c3BfYXRmX25leHQ6MjAwNDE2ODQwNzcyMDY6OjA6Og&url=%2FCOSMUS-WEBSTAR-LAPTOP-BACKPACK-BAGPACK%2Fdp%2FB08D7DFBYP%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622855%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,,4.0 out of 5 stars,4.0,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-19
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,,3.9 out of 5 stars,3.9,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-20
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),,4.4 out of 5 stars,4.4,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-21
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,,3.6 out of 5 stars,3.6,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-22
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",,4.3 out of 5 stars,4.3,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-23
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,,3.9 out of 5 stars,3.9,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-24
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,,4.0 out of 5 stars,4.0,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-25
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",,4.3 out of 5 stars,4.3,https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_9_1375464031_1
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,4.2 out of 5 stars,4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODU4MDU3NjAyNDgzNTk3OjE2OTI2MjI4NTY6c3BfbXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622855%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Swiss Military laptop Bag, Camouflage Print Multi Utility Backpack, Polyester, Adjustable Strap, USB Charging Socket (LBP96)",,3.3 out of 5 stars,3.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODU4MDU3NjAyNDgzNTk3OjE2OTI2MjI4NTY6c3BfbXRmOjIwMTAzNDY3NjkyMTk4OjowOjo&url=%2FSwiss-Military-Camouflage-Adjustable-LBP96%2Fdp%2FB0BBLZ2KT8%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622855%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",,4.1 out of 5 stars,4.1,https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-29
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,,4.0 out of 5 stars,4.0,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-30
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",,4.0 out of 5 stars,4.0,https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-31
ADISA Light Weight Laptop Backpack 32 Ltrs,,4.0 out of 5 stars,4.0,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-32
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",,4.4 out of 5 stars,4.4,https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-33
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",,4.0 out of 5 stars,4.0,https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-34
ADISA 31 Ltrs Casual Backpack School College Bag Pack,,4.0 out of 5 stars,4.0,https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-35
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,,4.2 out of 5 stars,4.2,https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1692622855&sprefix=ba%2Caps%2C283&sr=8-36
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,,4.2 out of 5 stars,4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODU4MDU3NjAyNDgzNTk3OjE2OTI2MjI4NTY6c3BfYnRmOjIwMDk3NTc5NTAxNzk4OjowOjo&url=%2Fuppercase-ltrs-backpack-INVALID-DATA_red%2Fdp%2FB0B691HSL3%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622855%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,4.3 out of 5 stars,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODU4MDU3NjAyNDgzNTk3OjE2OTI2MjI4NTY6c3BfYnRmOjIwMTA4NDc1MDc0Njk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622855%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
EXOTIC Women Hand/Sling bag,,4.1 out of 5 stars,4.1,https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RLUrQACE1YjSvYY0JVywiesAAAGKGC8fWgMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAWWpyA/https://www.amazon.in/dp/B09RW3DK6W?pd_rd_i=B09RW3DK6W&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=QB7RCZBEW3F3WPZ13JVD&pd_rd_wg=ELmHZ&pd_rd_w=uEr0e&pd_rd_r=79688243-f5dd-409d-981d-a5c7ba16864a
